name,nickname,wins,losses,draws,height_cm,weight_in_kg,reach_in_cm,stance,date_of_birth,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,,match_results
Tom Erikson,The Big Cat,9,4,1,190.5,127.01,,Orthodox,,0.94,47,1.87,25,4.68,60,100,6.2,,win
Jason Black,The Black Legion,23,4,1,172.72,70.31,,Orthodox,7/15/1972,1.06,47,2.6,45,0.48,33,28,6.2,,win
Francisco France,Kiko,13,5,1,182.88,92.99,,,,0.54,33,3.51,27,0,0,0,6.1,,win
John Albert,Prince,6,5,0,172.72,61.23,172.72,Orthodox,10/13/1986,3.05,49,2.82,35,0,0,50,6.1,,win
Daniel Swain,,20,10,1,175.26,65.77,177.8,Orthodox,1/30/1991,0.8,44,3.2,40,0,0,0,6,,win
Neiman Gracie,,6,0,0,182.88,77.11,,,,0.77,100,0.38,75,5.77,100,0,5.8,,win
Shamil Gaziev,,11,0,0,193.04,120.2,198.12,Orthodox,2/10/1990,1.52,100,0,0,0,0,0,5.7,,win
Masakatsu Funaki,,39,13,2,182.88,83.91,,Southpaw,3/13/1969,1.82,68,2.92,35,0,0,0,5.5,,win
David Terrell,The Soul Assassin,6,2,0,185.42,83.91,,Southpaw,1/9/1978,2.34,63,2.71,37,5.54,50,0,5.5,,win
Rob MacDonald,Maximus,5,4,0,190.5,92.99,198.12,Orthodox,9/5/1978,1.8,50,2.04,46,7.19,80,80,5.4,,win
Nick Barnes,,11,2,0,180.34,77.11,,,,2.86,29,8.93,51,5.36,100,100,5.4,,win
Matt Arroyo,No Regard,3,3,0,177.8,77.11,182.88,Orthodox,9/1/1982,1.62,47,2.01,58,2.12,36,100,5.3,,draw
Diego Lopes,,23,6,0,180.34,65.77,182.88,Orthodox,12/30/1994,2.47,53,4.91,37,0,0,42,5.3,,win
Colin Robinson,Big C,10,12,0,193.04,110.22,,Orthodox,11/27/1968,6.19,69,7.91,37,2.58,100,50,5.2,,loss
Nick Garcia,Nitro,8,3,0,162.56,56.7,,,,0.67,25,3.03,50,0,0,83,5.1,,win
Justin Levens,The Executioner,10,7,0,180.34,83.91,,Orthodox,4/18/1980,1.24,47,3.15,37,1.69,50,33,5.1,,win
Mike Ciesnolevicz,,19,4,0,182.88,106.59,,Orthodox,10/28/1979,0.51,50,4.62,57,0,0,20,5.1,,win
Magno Almeida,,10,3,0,182.88,70.31,,,,1.67,36,2.6,41,0,0,40,5,,win
George Pacurariu,Constantine,10,5,0,170.18,61.23,,,,4.69,53,2.68,63,5.03,100,100,5,,win
Ronaldo Candido,Pacman,6,0,0,167.64,56.7,,Southpaw,4/24/1989,1.67,42,3.87,52,8,53,0,5,,win
Alex Schoenauer,,15,10,0,190.5,83.91,,Orthodox,5/5/1976,1.22,40,2.27,42,0,0,22,4.9,,win
Justin Guthrie,,18,9,0,185.42,77.11,,,,0.16,33,3.74,14,2.44,25,0,4.9,,win
Billy Pasulatan,,10,3,0,165.1,56.7,167.64,Switch,8/7/1991,0.65,20,5.22,48,0,0,0,4.9,,win
Aaron Ely,The Cyborg,5,2,0,172.72,61.23,,,,0.82,15,0.66,69,2.47,100,50,4.9,,win
Shohei Nose,,10,4,2,167.64,61.23,172.72,Switch,10/19/1997,2.48,40,3.61,53,3.23,17,0,4.8,,win
TJ Waldburger,,16,9,0,180.34,77.11,190.5,Orthodox,4/25/1988,2.02,51,2.39,40,3.03,46,40,4.8,,win
Ronda Rousey,Rowdy,12,2,0,170.18,61.23,167.64,Orthodox,2/1/1987,4.17,52,4.14,44,6.26,68,50,4.8,,win
Nik Theotikos,,6,2,0,,83.91,,Orthodox,,0,0,5.48,19,0,0,0,4.8,,win
Valentijn Overeem,,30,32,0,190.5,104.33,,Orthodox,8/17/1976,0.93,34,1.49,58,1.86,50,0,4.7,,loss
Keith Rockel,Rock,12,4,1,182.88,83.91,,Orthodox,,1.13,73,0.21,66,4.63,75,100,4.6,,win
Mark Hughes,,6,2,0,175.26,92.99,,Southpaw,10/13/1973,0.9,47,0.4,42,3,50,0,4.5,,win
Jimmy Flick,The Brick,16,7,0,170.18,56.7,172.72,Orthodox,9/7/1990,1.99,50,5.05,38,1.66,27,0,4.4,,win
Kaline Medeiros,The Dark Angel,8,5,0,160.02,52.16,,,,2.06,70,0.29,83,4.41,100,0,4.4,,win
Takeru Uchida,,6,1,0,165.1,56.7,172.72,Southpaw,9/30/2002,0,0,0,0,0,0,0,4.4,,win
Joe Pearson,The Triangular Strangler,45,30,1,177.8,65.77,,Orthodox,3/28/1978,0.59,18,3.51,33,0,0,0,4.4,,win
Jordan Bailey,,6,3,0,175.26,65.77,,,,1.74,40,0.29,0,4.35,100,0,4.3,,win
Branden Lee Hinkle,The Iron Lion,17,11,0,190.5,106.59,,Orthodox,7/29/1973,2.61,69,3.91,26,4.34,57,66,4.3,,win
Goiti Yamauchi,,21,3,0,177.8,65.77,,,,1.66,54,1.01,66,0,0,0,4.3,,win
Masakatsu Okuda,,8,5,0,,,,,,0,0,4.27,34,0,0,0,4.3,,win
Wayne Cole,,16,25,0,185.42,92.99,,Orthodox,,0.57,20,8.33,27,4.31,25,0,4.3,,loss
Jason Glaza,,3,2,0,182.88,104.33,,,,4.34,54,0.43,40,4.34,100,0,4.3,,win
Bret Bergmark,The Angry Hick,6,1,1,175.26,77.11,,,,2.78,52,2.78,37,4.17,100,50,4.2,,win
Genki Sudo,Neo-Samurai,15,4,2,175.26,70.31,,Orthodox,3/8/1978,1.55,39,2.23,33,3.58,60,50,4.2,,win
Yasuhito Namekawa,,25,16,4,175.26,92.99,,Orthodox,10/27/1974,0.14,50,3.65,38,2.11,25,0,4.2,,win
Sean McCorkle,,17,7,0,200.66,120.2,205.74,Orthodox,7/17/1976,0.85,44,2.48,52,2.12,40,33,4.2,,win
Jeremy Lang,,21,2,0,180.34,92.99,,Southpaw,5/11/1975,1.13,50,1.41,42,4.22,60,0,4.2,,win
Rene Kronvold,,5,1,0,172.72,77.11,,Orthodox,,0.82,100,2.47,60,0,0,66,4.1,,win
Victor Hugo,Striker,24,4,0,170.18,61.23,180.34,Orthodox,11/22/1992,1.24,34,1.1,65,2.06,50,66,4.1,,win
Kain Royer,,2,2,0,,83.91,,,,0,0,1.63,14,0,0,0,4.1,,draw
Rousimar Palhares,Toquinho,19,8,0,172.72,77.11,180.34,Orthodox,2/26/1980,1.75,51,2.04,59,3.93,45,0,4.1,,win
Clay Mitchell,,1,2,0,187.96,83.91,,,,1.63,85,0,0,0,0,100,4.1,,loss
Karine Silva,Killer,17,4,0,165.1,56.7,170.18,Orthodox,12/2/1993,3.37,35,3.37,50,2.45,60,0,4.1,,win
Dustin Hazelett,McLovin,12,7,0,185.42,77.11,193.04,Orthodox,4/29/1986,2.24,40,3.51,46,0.55,50,25,4.1,,win
HanSeul Kim,Spade,13,5,0,185.42,77.11,187.96,Southpaw,6/19/1990,6.93,45,8.09,50,0,0,0,4,,win
Shinya Aoki,Tobikan Judan,39,7,0,180.34,69.85,,Southpaw,5/9/1983,0.97,58,1.25,58,2.54,41,60,4,,win
Marcus Hicks,The Wrecking Ball,10,4,0,167.64,70.31,162.56,Southpaw,11/25/1975,1.42,43,3.06,61,2.7,53,25,4,,win
Dan Evensen,The Viking,11,4,0,190.5,113.4,,Orthodox,6/1/1974,0.27,10,3.86,38,0,0,0,4,,win
Ralph Gracie,,6,1,0,175.26,83.01,,Orthodox,,0.86,37,1.72,31,0,0,25,4,,win
Charlie Kohler,,8,4,1,175.26,70.31,,Orthodox,7/16/1976,0.81,33,4.31,46,0,0,0,4,,win
Alberto Crane,,15,5,0,165.1,70.31,,Orthodox,7/14/1976,0.43,25,2.61,57,0,0,50,4,,win
Mike Hayes,,20,12,2,193.04,104.33,,Orthodox,,4.87,55,1.47,77,0,0,75,4,,win
Bruno Carvalho,,10,5,0,172.72,69.85,,,,0.6,45,0.93,53,0,0,66,4,,win
Steve Byrnes,The Sergeant,6,1,0,182.88,77.11,,Orthodox,,1.2,51,2.67,27,3,60,0,4,,win
Aliaskhab Khizriev,Black Wolf,14,0,0,175.26,83.91,187.96,Southpaw,8/24/1990,6.03,64,4.36,62,5.77,60,100,3.9,,win
Torrez Finney,The Punisher,7,0,0,172.72,83.91,190.5,Orthodox,10/24/1998,0.91,58,2.33,47,13.61,63,0,3.9,,win
Bill Mahood,The Butcher,20,7,1,190.5,90.72,,Orthodox,2/1/1967,1.54,85,3.59,17,0,0,0,3.9,,win
Marius Enache,,3,3,0,180.34,70.31,,,,1.71,34,0.66,84,3.94,100,0,3.9,,draw
Abongo Humphrey,,7,3,0,180.34,92.99,,Orthodox,,1.45,40,3.83,46,1.41,37,33,3.8,,win
Antonio Trocoli,Malvado,12,3,0,195.58,92.99,208.28,Orthodox,12/6/1990,1.27,71,4.56,25,3.8,100,100,3.8,,win
Hector Urbina,El Toro,17,10,1,180.34,77.11,185.42,Orthodox,9/17/1987,0.97,38,2.44,39,0,0,38,3.8,,win
