wins,losses,draws,height_cm,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,match_results
6,0,0,167.64,182.88,Southpaw,1.67,42,3.87,52,8,53,0,5,win
15,10,0,190.5,182.88,Orthodox,1.22,40,2.27,42,0,0,22,4.9,win
18,9,0,185.42,182.88,Orthodox,0.16,33,3.74,14,2.44,25,0,4.9,win
10,3,0,165.1,167.64,Switch,0.65,20,5.22,48,0,0,0,4.9,win
5,2,0,172.72,182.88,Orthodox,0.82,15,0.66,69,2.47,100,50,4.9,win
10,4,2,167.64,172.72,Switch,2.48,40,3.61,53,3.23,17,0,4.8,win
16,9,0,180.34,190.5,Orthodox,2.02,51,2.39,40,3.03,46,40,4.8,win
12,2,0,170.18,167.64,Orthodox,4.17,52,4.14,44,6.26,68,50,4.8,win
6,2,0,178.2343247,182.88,Orthodox,0,0,5.48,19,0,0,0,4.8,win
30,32,0,190.5,182.88,Orthodox,0.93,34,1.49,58,1.86,50,0,4.7,loss
12,4,1,182.88,182.88,Orthodox,1.13,73,0.21,66,4.63,75,100,4.6,win
6,2,0,175.26,182.88,Southpaw,0.9,47,0.4,42,3,50,0,4.5,win
16,7,0,170.18,172.72,Orthodox,1.99,50,5.05,38,1.66,27,0,4.4,win
8,5,0,160.02,182.88,Orthodox,2.06,70,0.29,83,4.41,100,0,4.4,win
6,1,0,165.1,172.72,Southpaw,0,0,0,0,0,0,0,4.4,win
45,30,1,177.8,182.88,Orthodox,0.59,18,3.51,33,0,0,0,4.4,win
6,3,0,175.26,182.88,Orthodox,1.74,40,0.29,0,4.35,100,0,4.3,win
17,11,0,190.5,182.88,Orthodox,2.61,69,3.91,26,4.34,57,66,4.3,win
21,3,0,177.8,182.88,Orthodox,1.66,54,1.01,66,0,0,0,4.3,win
8,5,0,178.2343247,182.88,Orthodox,0,0,4.27,34,0,0,0,4.3,win
16,25,0,185.42,182.88,Orthodox,0.57,20,8.33,27,4.31,25,0,4.3,loss
3,2,0,182.88,182.88,Orthodox,4.34,54,0.43,40,4.34,100,0,4.3,win
6,1,1,175.26,182.88,Orthodox,2.78,52,2.78,37,4.17,100,50,4.2,win
15,4,2,175.26,182.88,Orthodox,1.55,39,2.23,33,3.58,60,50,4.2,win
25,16,4,175.26,182.88,Orthodox,0.14,50,3.65,38,2.11,25,0,4.2,win
17,7,0,200.66,205.74,Orthodox,0.85,44,2.48,52,2.12,40,33,4.2,win
21,2,0,180.34,182.88,Southpaw,1.13,50,1.41,42,4.22,60,0,4.2,win
5,1,0,172.72,182.88,Orthodox,0.82,100,2.47,60,0,0,66,4.1,win
24,4,0,170.18,180.34,Orthodox,1.24,34,1.1,65,2.06,50,66,4.1,win
2,2,0,178.2343247,182.88,Orthodox,0,0,1.63,14,0,0,0,4.1,draw
19,8,0,172.72,180.34,Orthodox,1.75,51,2.04,59,3.93,45,0,4.1,win
1,2,0,187.96,182.88,Orthodox,1.63,85,0,0,0,0,100,4.1,loss
17,4,0,165.1,170.18,Orthodox,3.37,35,3.37,50,2.45,60,0,4.1,win
12,7,0,185.42,193.04,Orthodox,2.24,40,3.51,46,0.55,50,25,4.1,win
13,5,0,185.42,187.96,Southpaw,6.93,45,8.09,50,0,0,0,4,win
39,7,0,180.34,182.88,Southpaw,0.97,58,1.25,58,2.54,41,60,4,win
10,4,0,167.64,162.56,Southpaw,1.42,43,3.06,61,2.7,53,25,4,win
11,4,0,190.5,182.88,Orthodox,0.27,10,3.86,38,0,0,0,4,win
6,1,0,175.26,182.88,Orthodox,0.86,37,1.72,31,0,0,25,4,win
8,4,1,175.26,182.88,Orthodox,0.81,33,4.31,46,0,0,0,4,win
15,5,0,165.1,182.88,Orthodox,0.43,25,2.61,57,0,0,50,4,win
20,12,2,193.04,182.88,Orthodox,4.87,55,1.47,77,0,0,75,4,win
10,5,0,172.72,182.88,Orthodox,0.6,45,0.93,53,0,0,66,4,win
6,1,0,182.88,182.88,Orthodox,1.2,51,2.67,27,3,60,0,4,win
