wins,losses,draws,height_cm,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,match_results
20,12,0,172.72,172.72,Orthodox,4.08,42,4.18,69,0.25,66,71,0.9,win
19,9,0,175.26,180.34,Southpaw,3.8,41,2.17,62,2.53,48,63,0.9,win
13,6,0,185.42,182.88,Southpaw,3.56,54,2.94,45,1.15,22,34,0.9,win
20,4,0,175.26,185.42,Orthodox,2.94,33,3.67,58,2.79,28,38,0.9,win
10,4,0,167.64,172.72,Southpaw,4.67,55,3.82,52,0.59,66,47,0.9,win
6,2,0,200.66,182.88,Orthodox,2.47,42,2.59,67,0,0,0,0.9,win
21,13,0,193.04,193.04,Orthodox,2.79,47,4.14,46,1.72,33,85,0.9,win
26,12,5,170.18,170.18,Orthodox,1.88,49,1.63,62,1.44,50,63,0.9,win
11,0,0,165.1,167.64,Southpaw,4.27,63,1.38,51,6.2,61,100,0.9,win
26,15,0,172.72,177.8,Orthodox,2.23,42,2.21,69,3.76,63,67,0.9,win
16,14,0,175.26,182.88,Orthodox,0.65,41,1.55,44,2.47,70,43,0.9,win
11,4,0,198.12,195.58,Orthodox,1.44,79,2.52,52,3.93,28,0,0.8,win
13,7,1,177.8,182.88,Orthodox,1.71,41,1.67,55,1.13,20,40,0.8,win
8,4,0,167.64,172.72,Orthodox,1.93,53,2.08,53,3.04,40,50,0.8,win
12,4,0,172.72,180.34,Orthodox,3.54,57,3.15,41,3.37,40,100,0.8,win
35,10,0,175.26,180.34,Southpaw,2.72,45,2.79,49,1.44,62,60,0.8,win
14,6,1,177.8,182.88,Switch,4.28,47,4.09,48,2.34,37,66,0.8,win
24,9,0,170.18,172.72,Southpaw,3.17,43,3.03,64,0.67,30,60,0.8,win
16,7,0,172.72,177.8,Orthodox,2.45,43,1.94,63,2.9,54,69,0.8,win
16,6,0,180.34,182.88,Orthodox,3.64,47,4.02,58,1.29,16,100,0.8,win
34,11,0,187.96,195.58,Southpaw,3.05,61,2.05,60,0.5,77,69,0.8,win
19,5,0,182.88,193.04,Orthodox,2.93,49,2.44,53,2.05,29,55,0.8,win
25,12,0,185.42,190.5,Orthodox,1.69,35,2.62,56,0.58,30,52,0.8,win
33,14,0,177.8,180.34,Southpaw,1.95,31,2.51,63,4.08,53,92,0.8,win
11,4,0,185.42,182.88,Orthodox,1.4,33,1.75,60,0,0,61,0.8,win
16,10,0,185.42,190.5,Orthodox,1.88,52,2.62,40,3.89,40,50,0.8,win
6,8,0,170.18,170.18,Orthodox,2.28,34,3.58,50,0.67,21,33,0.8,loss
17,21,1,187.96,182.88,Southpaw,0.83,29,3.76,40,3.13,57,100,0.8,loss
17,8,0,160.02,162.56,Southpaw,3.35,43,2.23,61,1.11,39,57,0.8,win
23,10,0,187.96,190.5,Southpaw,2.43,35,2.34,59,0.64,44,62,0.8,win
15,8,0,170.18,177.8,Orthodox,1.75,40,1.68,53,2.11,45,52,0.8,win
14,7,0,170.18,185.42,Orthodox,2.04,44,3.14,53,0.59,30,36,0.8,win
13,9,0,177.8,190.5,Orthodox,4.1,44,3.93,55,2.24,52,50,0.8,win
16,3,1,172.72,182.88,Orthodox,3.32,51,2.62,47,3.4,75,50,0.8,win
23,9,1,180.34,180.34,Southpaw,1.28,48,1.88,53,1.75,30,69,0.8,win
12,1,0,177.8,175.26,Orthodox,3.46,50,3.83,46,0,0,25,0.8,win
13,3,1,162.56,165.1,Southpaw,3.54,55,4.66,42,0.82,55,55,0.8,win
21,11,1,172.72,180.34,Orthodox,2.92,34,2.55,58,3.49,53,66,0.8,win
20,14,0,190.5,190.5,Orthodox,3.08,31,3.14,51,0.89,16,48,0.8,win
14,5,0,182.88,180.34,Switch,5.6,56,3.35,55,5.29,53,56,0.8,win
15,5,0,177.8,187.96,Orthodox,3.72,47,3.02,52,1.37,26,57,0.8,win
10,4,0,152.4,154.94,Southpaw,0.79,27,4.96,37,2.05,83,33,0.8,win
29,0,0,177.8,177.8,Orthodox,4.1,48,1.75,65,5.32,48,84,0.8,win
23,22,1,190.5,182.88,Orthodox,1.84,56,2.14,48,0.4,100,53,0.8,win
15,10,0,182.88,185.42,Orthodox,2.35,26,4.14,51,0,0,33,0.8,win
14,7,0,170.18,180.34,Switch,1.93,42,2.26,42,1.61,30,9,0.8,win
7,4,0,190.5,182.88,Orthodox,0.75,39,1.1,46,3,100,0,0.8,win
7,2,0,180.34,182.88,Orthodox,1.04,39,2.92,45,1.56,100,50,0.8,win
19,7,0,165.1,170.18,Orthodox,1.93,40,4.48,27,5.1,60,0,0.8,win
11,4,0,177.8,182.88,Orthodox,3.34,43,8.85,47,1.59,25,33,0.8,win
23,4,0,170.18,180.34,Orthodox,4.73,52,2.41,58,1.97,24,45,0.8,win
17,16,0,177.8,182.88,Orthodox,1.26,54,1.12,57,2,56,30,0.8,win
11,9,0,187.96,195.58,Orthodox,2.55,39,2.42,63,0.39,25,64,0.8,win
10,1,0,177.8,182.88,Orthodox,0.85,34,0.57,60,3.41,66,100,0.8,win
10,5,0,180.34,182.88,Orthodox,0.2,36,2.6,53,0,0,25,0.8,win
19,12,1,193.04,208.28,Orthodox,2.89,45,3.09,50,0.82,29,66,0.8,win
35,19,2,182.88,187.96,Orthodox,2.71,49,2.32,55,1.87,51,70,0.8,win
12,7,0,177.8,187.96,Orthodox,2.74,38,4.3,52,0.28,50,47,0.8,win
14,9,0,190.5,190.5,Orthodox,2.14,24,3.97,68,1.55,44,66,0.8,win
21,9,0,175.26,180.34,Southpaw,2.79,46,1.9,56,2.35,47,75,0.8,win
12,9,1,170.18,172.72,Orthodox,2.7,36,3.21,44,1.71,31,64,0.8,win
9,6,1,162.56,162.56,Orthodox,4.41,38,4.12,64,1.8,44,77,0.8,win
12,6,0,180.34,182.88,Orthodox,1.06,30,3.34,56,0,0,14,0.8,win
9,1,0,172.72,170.18,Southpaw,5.28,46,3.24,55,1,36,44,0.8,win
10,4,0,167.64,172.72,Southpaw,2.57,61,1.63,47,2.77,65,42,0.8,win
8,1,0,195.58,195.58,Orthodox,6.45,45,3.95,61,0.78,50,77,0.8,win
9,3,0,182.88,182.88,Orthodox,5.57,51,7.94,48,1.65,18,66,0.8,win
28,12,0,175.26,180.34,Orthodox,2.92,44,2.3,63,1.31,40,66,0.8,win
13,7,0,185.42,190.5,Orthodox,3.56,42,5.74,52,1.4,71,50,0.8,win
15,2,3,185.42,182.88,Southpaw,0.88,41,1.13,37,0,0,66,0.8,win
9,4,0,185.42,185.42,Orthodox,2.75,48,3.11,49,0.41,100,66,0.8,win
1,5,0,170.18,182.88,Orthodox,2.5,44,3.55,64,0.75,20,0,0.8,loss
18,8,0,175.26,195.58,Orthodox,3.88,42,3.6,50,3.18,43,75,0.8,win
34,14,7,172.72,167.64,Southpaw,1.02,31,2.89,50,0.83,16,46,0.8,win
8,4,0,193.04,203.2,Orthodox,2.88,53,3.08,54,1.49,40,50,0.8,win
9,2,0,170.18,182.88,Orthodox,1.01,69,3.83,35,0.85,33,63,0.8,win
8,3,0,182.88,185.42,Southpaw,1.31,47,2.96,40,1.2,42,54,0.8,win
35,14,0,170.18,177.8,Southpaw,3.81,41,3.52,60,1.23,65,63,0.8,win
18,5,0,167.64,170.18,Orthodox,5.09,41,3.47,62,1.56,30,77,0.8,win
8,3,0,157.48,160.02,Orthodox,4.81,48,3.66,49,1.13,33,47,0.8,win
22,12,0,177.8,182.88,Orthodox,2.07,37,4.03,50,3.18,50,0,0.8,win
5,3,1,177.8,182.88,Orthodox,3.87,32,4.19,51,0,0,50,0.8,win
14,1,0,170.18,180.34,Orthodox,3.74,52,2.3,57,6.86,48,100,0.8,win
21,13,0,182.88,187.96,Orthodox,2.93,50,2.9,57,1.45,34,59,0.8,win
22,14,1,193.04,195.58,Orthodox,3.93,51,3.35,49,1.33,62,50,0.8,win
9,8,1,167.64,172.72,Orthodox,3.2,41,3.52,59,0.62,63,50,0.8,win
7,6,0,177.8,182.88,Orthodox,1.51,33,2.65,54,1.62,40,52,0.8,win
8,3,0,165.1,170.18,Orthodox,5.48,62,2.75,48,0.85,25,63,0.8,win
7,5,0,165.1,172.72,Orthodox,1.44,42,3.53,53,0.55,66,51,0.8,win
4,6,0,160.02,157.48,Orthodox,2.54,43,3.97,57,2.03,83,66,0.8,loss
18,1,0,185.42,185.42,Orthodox,4.89,48,3,64,5.22,56,77,0.8,win
7,6,0,157.48,160.02,Orthodox,3.01,50,3.19,51,1.83,22,37,0.8,win
30,7,1,182.88,187.96,Orthodox,2.61,50,1.65,54,3.6,51,56,0.8,win
14,10,0,162.56,165.1,Orthodox,3.84,37,5.19,48,1.08,28,75,0.8,win
9,2,0,170.18,182.88,Orthodox,2.47,35,2.53,51,0,0,42,0.8,win
19,10,0,175.26,185.42,Orthodox,3.35,48,3.33,55,1.87,57,68,0.8,win
24,7,0,175.26,177.8,Southpaw,2.93,45,1.79,63,2.4,45,63,0.8,win
5,13,0,185.42,182.88,Orthodox,0.9,55,1.16,51,1.51,43,53,0.8,loss
15,7,0,187.96,198.12,Orthodox,2.98,43,3.27,50,3.6,43,65,0.8,win
21,9,0,172.72,172.72,Orthodox,2.53,34,3.61,54,2.57,25,80,0.8,win
12,4,0,160.02,167.64,Orthodox,4.92,42,3.33,63,1.99,51,87,0.8,win
13,5,0,170.18,165.1,Orthodox,3.76,40,2.89,59,1.97,27,25,0.8,win
7,2,0,167.64,172.72,Orthodox,4.25,55,4.53,58,0,0,40,0.8,win
11,5,0,187.96,200.66,Orthodox,1.95,42,2.14,52,3.42,39,53,0.8,win
14,9,0,187.96,193.04,Orthodox,1.23,40,3.28,39,0,0,50,0.8,win
35,11,0,167.64,170.18,Orthodox,2.65,40,2.59,64,1.54,30,58,0.8,win
11,6,0,177.8,182.88,Orthodox,2.94,38,4.63,55,0,0,55,0.8,win
10,6,0,177.8,170.18,Orthodox,1.52,48,0.79,66,1.14,60,70,0.8,win
12,7,0,167.64,162.56,Orthodox,3.07,42,3.55,51,1.03,36,47,0.8,win
31,13,0,177.8,182.88,Southpaw,2.69,37,3.02,56,1.51,24,46,0.8,win
22,11,0,180.34,185.42,Southpaw,2.87,42,2.87,52,1.14,41,53,0.8,win
12,5,0,167.64,175.26,Orthodox,3.16,47,2.3,50,1.94,55,23,0.8,win
24,8,2,172.72,167.64,Orthodox,2.64,40,2.47,61,1.88,75,76,0.8,win
18,8,0,182.88,182.88,Orthodox,3.23,51,4.17,45,1.55,20,42,0.8,win
22,10,1,185.42,193.04,Southpaw,3.23,50,2.09,64,1.53,54,66,0.8,win
12,3,0,154.94,157.48,Orthodox,2.15,56,2.4,53,3.38,56,100,0.8,win
47,19,0,193.04,203.2,Orthodox,3.67,64,2.44,57,1.42,55,73,0.8,win
21,2,2,170.18,182.88,Orthodox,3.36,35,3.2,63,1,27,71,0.7,win
12,4,0,180.34,177.8,Southpaw,1.81,63,0.76,65,0.71,50,50,0.7,win
17,5,1,180.34,182.88,Orthodox,4.75,47,4.07,60,1.66,46,74,0.7,win
16,9,0,180.34,187.96,Orthodox,4.18,48,4.45,46,0,0,57,0.7,win
17,1,0,172.72,180.34,Orthodox,3.84,58,2.2,57,3.42,40,79,0.7,win
18,10,1,172.72,185.42,Orthodox,2.37,45,2.66,64,0.93,47,41,0.7,win
18,5,0,162.56,160.02,Orthodox,3.31,41,4.57,57,3.03,42,58,0.7,win
13,5,0,172.72,175.26,Southpaw,3.61,41,4.51,54,0.45,60,64,0.7,win
17,11,7,167.64,182.88,Orthodox,1.44,39,1.42,55,0.67,100,35,0.7,win
17,7,0,182.88,185.42,Orthodox,3.53,39,2.42,57,1.37,20,38,0.7,win
20,6,0,177.8,193.04,Southpaw,2.53,45,2.14,65,2.37,29,66,0.7,win
20,8,1,167.64,182.88,Southpaw,1.46,41,1.13,61,4.76,53,33,0.7,win
16,4,0,180.34,180.34,Orthodox,4.63,46,4.07,51,0.73,28,59,0.7,win
15,12,0,165.1,167.64,Orthodox,3.37,40,3.41,65,2.61,45,59,0.7,win
9,1,0,167.64,175.26,Orthodox,8.77,55,5.9,58,1.96,42,71,0.7,win
20,7,1,180.34,182.88,Orthodox,2.54,48,3.11,44,1.44,40,80,0.7,win
22,20,1,167.64,182.88,Orthodox,1.64,32,3.58,62,1.33,40,0,0.7,win
21,11,0,167.64,172.72,Orthodox,4.63,49,4.45,54,0.95,44,34,0.7,win
7,5,0,187.96,198.12,Orthodox,3.15,26,6.39,54,0,0,0,0.7,win
14,9,0,172.72,170.18,Orthodox,3.68,37,3.83,51,0.55,27,66,0.7,win
16,5,0,175.26,182.88,Orthodox,3.21,37,3.78,57,2.79,59,72,0.7,win
12,5,0,190.5,208.28,Switch,3.55,50,2.79,64,0,0,55,0.7,win
16,5,0,177.8,185.42,Orthodox,2.68,34,3.78,54,0.96,66,64,0.7,win
21,9,0,165.1,177.8,Orthodox,2.7,25,5.37,49,0.98,14,66,0.7,win
13,8,2,182.88,182.88,Orthodox,1.13,35,2.36,48,2.67,53,12,0.7,win
3,4,0,170.18,182.88,Orthodox,2.88,46,4.32,67,4.88,43,0,0.7,loss
23,5,0,172.72,175.26,Orthodox,4.55,51,2.62,57,2.73,54,82,0.7,win
8,2,0,167.64,167.64,Orthodox,0.96,40,1.78,46,3.61,62,50,0.7,win
29,7,0,185.42,193.04,Southpaw,4.1,44,2.07,62,1.31,66,63,0.7,win
15,10,0,165.1,170.18,Orthodox,2.13,41,2.83,55,3.26,34,69,0.7,win
9,3,1,182.88,182.88,Southpaw,2.08,52,0.74,67,2.22,25,80,0.7,win
11,6,0,185.42,193.04,Orthodox,3.52,41,4.31,57,0.32,15,63,0.7,win
8,2,0,170.18,180.34,Orthodox,2.51,45,3.24,60,0.72,18,75,0.7,win
18,12,0,160.02,157.48,Orthodox,3.56,46,4.19,49,1.42,32,70,0.7,win
12,0,0,172.72,175.26,Orthodox,2.94,64,3.35,34,3.35,19,0,0.7,win
8,4,0,170.18,172.72,Orthodox,4.83,41,2.81,61,0.36,16,81,0.7,win
27,14,1,185.42,193.04,Orthodox,3.57,50,2.79,54,2.01,48,49,0.7,win
19,11,0,177.8,177.8,Orthodox,4.76,40,5.94,53,1.42,26,64,0.7,win
17,1,0,165.1,172.72,Orthodox,2.8,39,3.07,63,1.71,33,40,0.7,win
12,6,0,185.42,187.96,Switch,2.12,48,2.25,49,0.66,100,55,0.7,win
10,6,0,167.64,165.1,Orthodox,1.34,39,2.21,66,1.42,33,35,0.7,win
12,7,0,182.88,182.88,Southpaw,5.13,51,4.56,52,1.42,100,56,0.7,win
15,7,0,182.88,193.04,Orthodox,5.46,42,5.6,48,0.7,20,64,0.7,win
17,4,0,182.88,190.5,Southpaw,1.61,45,2.89,42,0.35,20,66,0.7,win
8,12,0,187.96,182.88,Orthodox,1.65,38,4.77,53,0.37,7,22,0.7,loss
21,14,0,177.8,185.42,Southpaw,4.16,50,2.93,63,0.56,68,64,0.7,win
15,10,0,190.5,190.5,Orthodox,3.29,55,3.31,51,1.7,32,60,0.7,win
10,6,0,175.26,185.42,Orthodox,2.23,46,3.1,58,0.36,7,53,0.7,win
28,16,0,193.04,198.12,Orthodox,2.37,50,1.77,54,1.22,50,32,0.7,win
12,5,0,162.56,172.72,Orthodox,4.34,47,5.19,55,1.83,46,77,0.7,win
15,5,0,182.88,190.5,Orthodox,3.49,44,3.29,48,2.4,40,46,0.7,win
7,2,0,175.26,182.88,Orthodox,3.66,33,4.07,53,3.29,50,0,0.7,win
11,8,1,175.26,182.88,Orthodox,1.79,35,2.48,56,0.99,28,44,0.7,win
9,4,0,175.26,182.88,Orthodox,1.08,45,2.67,52,3.39,50,100,0.7,win
11,1,0,187.96,203.2,Orthodox,4.31,48,4.76,43,1.2,33,77,0.7,win
11,5,0,187.96,187.96,Switch,2.7,42,3.63,52,1.36,66,50,0.7,win
13,2,0,182.88,185.42,Southpaw,2.62,46,1.49,75,1.06,60,81,0.7,win
15,3,0,185.42,185.42,Orthodox,1.55,47,2.9,59,4.66,43,0,0.7,win
12,3,0,187.96,182.88,Orthodox,2.17,34,2.08,70,0,0,76,0.7,win
7,3,0,172.72,175.26,Orthodox,3.37,36,4.4,58,2.93,66,75,0.7,win
8,4,0,200.66,182.88,Orthodox,3.67,51,4.1,41,5.07,70,100,0.7,win
7,1,0,175.26,180.34,Orthodox,3.02,53,1.86,46,1.81,27,83,0.7,win
19,7,0,190.5,195.58,Orthodox,4.38,36,2.81,61,1.05,48,57,0.7,win
20,9,1,185.42,182.88,Orthodox,2.87,64,3.57,37,0.91,57,45,0.7,win
16,6,0,175.26,182.88,Orthodox,3.31,62,2.06,44,2.43,24,66,0.7,win
11,7,1,170.18,180.34,Orthodox,3.19,49,2.61,50,0.98,23,25,0.7,win
13,7,1,175.26,177.8,Orthodox,1.92,32,2.64,66,2.91,47,81,0.7,win
13,5,0,190.5,193.04,Orthodox,4.13,39,3.31,60,0.26,33,57,0.7,win
24,14,0,167.64,167.64,Switch,3.36,41,4.61,54,1.79,42,60,0.7,win
18,5,0,175.26,187.96,Orthodox,4.66,37,3.42,56,0.71,22,63,0.7,win
19,11,1,187.96,182.88,Southpaw,1.77,42,1.45,52,0.35,66,66,0.7,win
14,4,0,190.5,190.5,Southpaw,3.03,46,3.52,52,0.44,18,65,0.7,win
18,8,1,170.18,182.88,Switch,2.23,56,1.44,45,1.31,66,20,0.7,win
17,11,2,187.96,193.04,Orthodox,3.25,36,2.98,59,1.18,45,62,0.7,win
11,3,0,175.26,182.88,Orthodox,3.25,43,4.45,54,2.53,58,77,0.7,win
9,4,0,167.64,175.26,Orthodox,4.65,50,4,47,0.15,25,76,0.7,win
10,6,0,180.34,190.5,Orthodox,0.41,32,2.42,42,1.95,24,30,0.7,win
37,18,0,193.04,193.04,Orthodox,3.16,48,4.45,46,0.52,28,48,0.7,win
2,2,0,177.8,182.88,Orthodox,2.6,26,2.83,50,0,0,87,0.7,draw
22,9,1,180.34,190.5,Orthodox,5.17,52,5.15,52,1.04,60,62,0.7,win
17,4,1,167.64,182.88,Switch,1.17,30,2.1,56,0,0,14,0.7,win
5,1,0,180.34,182.88,Orthodox,3.79,31,3.98,68,2.13,42,100,0.7,win
15,15,0,185.42,190.5,Orthodox,2.11,37,3.75,51,1.18,55,19,0.7,draw
13,4,0,177.8,177.8,Southpaw,2.05,44,4.21,39,0.35,50,47,0.7,win
15,5,1,180.34,180.34,Switch,3.46,44,4.56,52,1.15,20,73,0.7,win
17,12,0,177.8,172.72,Orthodox,3.66,38,4.86,50,0.68,27,53,0.7,win
18,6,0,180.34,187.96,Orthodox,2.78,47,1.84,62,2.58,35,70,0.7,win
12,6,1,165.1,170.18,Orthodox,2.48,40,3.87,57,1.74,41,31,0.7,win
35,16,5,170.18,172.72,Southpaw,2.36,33,2.55,63,2.93,51,50,0.7,win
20,11,2,170.18,167.64,Orthodox,2.34,35,2.14,63,0.91,58,68,0.7,win
42,22,1,175.26,185.42,Southpaw,2.91,42,2.34,66,0.76,53,69,0.7,win
11,5,0,170.18,170.18,Orthodox,4.15,31,4.42,53,0.67,22,45,0.7,win
19,6,0,187.96,187.96,Orthodox,3.92,50,2.55,67,1.03,47,70,0.7,win
18,13,1,177.8,185.42,Orthodox,4.55,35,3.59,65,0.93,50,76,0.7,win
15,8,0,177.8,190.5,Orthodox,4.36,37,5.67,47,0.33,50,73,0.7,win
26,9,0,177.8,182.88,Orthodox,1.91,54,2.62,55,0.67,15,50,0.7,win
14,5,0,180.34,182.88,Orthodox,3.25,50,2.98,59,1.02,17,59,0.7,win
4,11,1,182.88,182.88,Orthodox,2.06,35,2.4,53,0.49,50,53,0.7,loss
7,6,0,187.96,190.5,Orthodox,3.63,34,5.76,55,0.65,30,80,0.7,win
10,5,0,157.48,149.86,Orthodox,3.44,43,5.06,43,0.49,13,30,0.7,win
60,26,1,175.26,187.96,Orthodox,0.97,30,2.87,59,1.06,12,66,0.7,win
7,4,0,190.5,182.88,Orthodox,4.13,66,2.92,54,0.67,33,66,0.7,win
18,4,1,177.8,182.88,Orthodox,1.68,32,3.8,45,1.99,25,33,0.7,win
9,4,0,182.88,185.42,Orthodox,2.88,41,3.67,51,0,0,0,0.6,win
22,7,0,175.26,177.8,Southpaw,2.55,64,3.7,37,3.89,36,83,0.6,win
26,14,0,182.88,187.96,Southpaw,1.59,46,2.83,50,1.02,60,53,0.6,win
19,12,1,190.5,187.96,Orthodox,2.59,46,2.88,60,2.47,35,54,0.6,win
11,7,0,172.72,177.8,Orthodox,4.07,41,3.16,68,1.01,63,68,0.6,win
13,2,0,160.02,157.48,Switch,2.12,46,1.66,62,4.54,57,69,0.6,win
19,7,0,167.64,170.18,Orthodox,2.72,43,2.59,58,1.18,44,65,0.6,win
28,8,0,162.56,165.1,Southpaw,3.52,34,2.67,61,1.41,30,62,0.6,win
11,2,0,185.42,195.58,Orthodox,4.52,54,3.73,42,0.94,25,45,0.6,win
8,3,0,172.72,182.88,Orthodox,2.48,36,4.84,40,1.18,11,0,0.6,win
13,10,0,175.26,182.88,Orthodox,1.79,35,2.55,55,3.19,83,69,0.6,win
21,4,0,187.96,193.04,Orthodox,1.35,31,3.17,47,1.19,18,0,0.6,win
14,25,1,187.96,182.88,Southpaw,1.65,38,3.05,53,1,20,50,0.6,loss
14,8,0,165.1,170.18,Orthodox,2.52,31,4.75,46,1.32,21,36,0.6,win
9,3,0,165.1,167.64,Orthodox,1.51,31,5.07,52,0.83,37,38,0.6,win
7,2,0,175.26,187.96,Southpaw,0.73,33,2.89,45,1.16,20,33,0.6,win
12,3,0,157.48,160.02,Orthodox,6.19,52,5.11,62,0.62,100,42,0.6,win
44,17,0,182.88,177.8,Southpaw,2.41,51,1.69,57,2.45,55,62,0.6,win
15,12,0,182.88,182.88,Orthodox,1.05,49,1.99,52,2.78,36,85,0.6,win
23,12,0,182.88,185.42,Orthodox,1.61,41,2.01,46,4.17,70,45,0.6,win
13,7,2,182.88,182.88,Orthodox,2.42,50,0.42,71,0,0,90,0.6,win
9,3,0,172.72,185.42,Orthodox,2.82,40,3.82,57,1.11,15,100,0.6,win
14,3,0,172.72,175.26,Orthodox,2.76,50,2.84,40,2.37,100,66,0.6,win
38,21,0,170.18,177.8,Orthodox,2.64,33,3.01,61,3.13,36,67,0.6,win
15,6,1,170.18,175.26,Orthodox,4.67,53,3.95,52,3.22,38,100,0.6,win
17,4,0,187.96,200.66,Orthodox,2.85,34,1.33,72,2.99,38,72,0.6,win
17,11,1,190.5,187.96,Orthodox,2.71,48,4.43,53,1.46,33,25,0.6,win
21,13,0,180.34,177.8,Orthodox,1.56,37,1.83,59,1.73,36,42,0.6,win
16,0,0,180.34,182.88,Orthodox,1.61,54,1.93,50,3.62,25,100,0.6,win
14,5,0,177.8,180.34,Orthodox,3.16,29,4.23,60,2.21,57,50,0.6,win
23,9,0,177.8,177.8,Orthodox,1.98,40,3.01,54,1.91,30,25,0.6,win
15,9,0,170.18,170.18,Orthodox,4.02,50,3.34,62,0.93,27,63,0.6,win
11,2,0,172.72,182.88,Orthodox,5.36,46,3.36,61,2.87,46,70,0.6,win
17,8,0,170.18,182.88,Orthodox,3.93,41,4.52,52,0.7,44,72,0.6,win
2,2,0,175.26,182.88,Orthodox,1.69,37,1.54,60,3.46,85,50,0.6,draw
25,9,0,185.42,195.58,Orthodox,1.52,42,2.86,49,0.86,15,22,0.6,win
9,6,0,170.18,165.1,Orthodox,3.18,47,4.88,43,0,0,53,0.6,win
4,5,0,162.56,165.1,Orthodox,3.89,43,4.75,53,2,57,61,0.6,loss
14,6,0,182.88,180.34,Orthodox,3.12,51,2.26,57,3.17,29,57,0.6,win
23,9,0,185.42,195.58,Southpaw,3.51,47,3.05,51,3.14,33,85,0.6,win
26,4,0,167.64,170.18,Orthodox,2.38,47,2.51,57,3.94,36,47,0.6,win
21,5,0,177.8,182.88,Orthodox,3.95,54,3.21,56,1.63,43,36,0.6,win
8,9,0,170.18,175.26,Southpaw,3.42,39,4.13,47,1.09,27,66,0.6,loss
13,10,0,190.5,198.12,Orthodox,5.8,44,5.08,50,0.71,33,67,0.6,win
9,3,0,167.64,167.64,Orthodox,3.78,47,4.65,47,1.56,47,62,0.6,win
26,4,0,165.1,165.1,Orthodox,2.84,41,4.43,60,0.6,18,94,0.6,win
7,0,0,177.8,177.8,Switch,6.66,51,3.12,51,0,0,88,0.6,win
31,9,0,160.02,170.18,Orthodox,5.36,40,4.27,56,0.56,58,67,0.6,win
12,6,0,195.58,200.66,Orthodox,2.3,47,3,37,3.29,42,100,0.6,win
10,4,0,167.64,177.8,Orthodox,2.64,37,3.44,56,1.95,40,83,0.6,win
12,4,0,187.96,190.5,Orthodox,3.46,51,4.13,43,2.17,39,63,0.6,win
14,9,0,180.34,182.88,Orthodox,4.79,38,5.76,58,1.22,50,100,0.6,win
23,6,0,170.18,172.72,Switch,8.26,54,5.95,47,0,0,78,0.6,win
10,4,0,170.18,170.18,Orthodox,1.8,34,2.69,50,0.32,50,47,0.6,win
6,3,0,170.18,175.26,Orthodox,1.9,47,2.77,39,2.22,43,36,0.6,win
22,4,1,187.96,193.04,Southpaw,2.12,49,1.89,58,2.93,43,71,0.6,win
9,5,0,170.18,175.26,Orthodox,2.57,39,3.06,51,0.2,100,37,0.6,win
10,6,0,165.1,177.8,Orthodox,1.86,36,3.1,52,2.64,35,43,0.6,win
28,12,0,185.42,187.96,Southpaw,6.22,48,6.35,47,1.66,46,61,0.6,win
12,7,0,175.26,180.34,Orthodox,2.12,34,2.12,58,2.23,50,69,0.6,win
23,9,0,177.8,177.8,Southpaw,3.73,44,2.93,54,0.75,46,55,0.6,win
35,13,1,180.34,187.96,Orthodox,2.79,40,2.19,60,0.97,53,62,0.6,win
12,6,0,165.1,165.1,Orthodox,3.68,40,3.53,62,1.49,48,60,0.6,win
15,6,0,185.42,195.58,Orthodox,2.36,37,2.29,54,1.06,50,61,0.6,win
17,9,0,187.96,190.5,Orthodox,3.12,39,3.88,58,1.26,34,73,0.6,win
19,7,0,180.34,185.42,Orthodox,3.3,45,2.56,60,1.59,40,62,0.6,win
13,8,0,167.64,175.26,Orthodox,4.91,47,3.69,63,1.84,57,54,0.6,win
9,5,0,172.72,175.26,Southpaw,3.6,45,3,64,2.7,47,42,0.6,win
22,11,0,170.18,162.56,Orthodox,2.94,47,3.38,62,3.21,68,80,0.6,win
14,3,0,172.72,172.72,Orthodox,3.04,41,3.92,51,1.51,44,92,0.6,win
27,7,0,175.26,185.42,Orthodox,3.41,49,2.91,59,1.56,16,75,0.6,win
18,10,0,193.04,208.28,Orthodox,5.39,55,2.54,55,0.61,66,54,0.6,win
11,4,0,172.72,180.34,Southpaw,3.85,49,2.9,48,1.24,33,60,0.6,win
25,12,0,190.5,198.12,Orthodox,2.22,42,1.64,59,1.79,36,73,0.6,win
8,4,1,193.04,198.12,Orthodox,5.08,48,3.46,57,0.64,50,42,0.6,win
29,10,2,180.34,185.42,Orthodox,2.42,42,2.12,65,2.55,56,54,0.6,win
25,7,0,182.88,190.5,Southpaw,2.96,35,2.91,55,0.62,28,66,0.6,win
16,5,0,180.34,190.5,Orthodox,2.99,40,3.01,59,1.97,29,66,0.6,win
20,6,0,177.8,180.34,Southpaw,5.11,45,2.53,64,1.87,37,42,0.6,win
9,6,0,165.1,182.88,Orthodox,2.31,43,2.1,43,0,0,55,0.6,win
11,9,0,190.5,182.88,Orthodox,2,40,1.91,55,0,0,77,0.6,win
17,15,1,167.64,182.88,Orthodox,0.51,34,0.73,58,1.1,50,44,0.6,win
23,11,0,185.42,190.5,Orthodox,5.29,58,4.31,53,0.44,57,61,0.6,win
